Specie,Individual,Group
Blue-tailed Bee-eater,1,1
Blue-tailed Bee-eater,1,1
Little Ringed Plover,4,1
Little Ringed Plover,16,1
Green-billed Malkoha,1,1
Dusky Warbler,3,1
Blue-tailed Bee-eater,1,1
Little Cormorant,1,1
Little Cormorant,1,1
Chinese Pond-heron,2,1
Little Cormorant,1,1
Grey Heron,1,1
Eastern Spotted Dove,1,1
Whiskered Tern,1,1
Little Egret,1,1
Barn Swallow,6,2
Little Egret,5,2
Paddyfield Pipit,2,2
Ashy Tailorbird,1,2
Yellow-vented Bulbul,1,2
Barn Swallow,5,2
Streak-eared Bulbul,1,2
Common Tailorbird,2,2
Common Iora,2,2
Barn Swallow,10,2
Plaintive Cuckoo,2,2
Plain-backed Sparrow,7,2
Scaly-breasted Munia,5,3
Plain Prinia,1,3
Barn Swallow,2,3
Olive-backed Sunbird,1,3
Whiskered Tern,2,3
Chinese Pond-heron,1,3
Little Cormorant,1,3
Yellow-vented Bulbul,2,3
Little Cormorant,1,3
Chinese Pond-heron,1,3
Whiskered Tern,1,3
Blue-tailed Bee-eater,3,3
Barn Swallow,10,3
Wood Sandpiper,1,3
Yellow-vented Bulbul,2,4
Common Myna,4,4
Barn Swallow,8,4
Eurasian Tree Sparrow,10,4
Sunda Pied Fantail,2,4
Yellow-vented Bulbul,1,4
Chinese Pond-heron,1,4
Barn Swallow,5,4
Whiskered Tern,2,4
Coppersmith Barbet,1,4
Blue-tailed Bee-eater,2,4
Brown Shrike,1,4
Sunda Pied Fantail,1,5
Barn Swallow,12,5
Chinese Pond-heron,2,5
Little Cormorant,1,5
Little Cormorant,1,5
Little Egret,1,5
Chinese Pond-heron,1,5
Yellow-vented Bulbul,1,5
Yellow-vented Bulbul,1,5
Barn Swallow,4,5
Little Egret,1,5
Chinese Pond-heron,2,5
Chinese Pond-heron,1,5
Barn Swallow,2,5
Chinese Pond-heron,4,5
Little Grebe,4,5
Chinese Pond-heron,1,5
Little Cormorant,1,5
Common Sandpiper,1,5
Black-winged Stilt,3,5
Common Sandpiper,5,5
Common Greenshank,2,5
Little Cormorant,1,6
Common Tern,2,6
Chinese Pond-heron,1,6
Common Kingfisher,1,6
Collared Kingfisher,1,6
Little Egret,8,6
Plain Prinia,1,6
Eurasian Tree Sparrow,2,6
Olive-backed Sunbird,1,6
Common Kingfisher,1,6
Zebra Dove,1,6
Little Egret,1,7
Collared Kingfisher,1,7
Chinese Pond-heron,1,7
Plaintive Cuckoo,2,7
Little Egret,2,7
Eurasian Tree Sparrow,6,7
Olive-backed Sunbird,1,7
Sunda Pied Fantail,2,7
Little Egret,2,7
Barn Swallow,1,7
Scaly-breasted Munia,3,7
Little Cormorant,1,7
Eastern Spotted Dove,1,8
Chinese Pond-heron,1,8
Common Sandpiper,1,8
Chinese Pond-heron,1,8
Barn Swallow,3,8
Little Cormorant,1,8
Little Egret,2,8
Greater Coucal,1,8
Plain Prinia,1,8
Little Egret,1,8
Little Cormorant,1,8
Chinese Pond-heron,1,8
Little Egret,1,8
Whiskered Tern,1,8
Little Cormorant,1,8
Little Cormorant,1,8
Edible-nest Swiftlet,1,8
Eurasian Tree Sparrow,1,9
Little Cormorant,1,9
Chinese Pond-heron,1,9
Little Egret,12,9
Little Cormorant,1,9
Barn Swallow,4,9
Whiskered Tern,5,9
Little Grebe,15,9
Streak-eared Bulbul,1,9
Little Egret,20,9
Common Sandpiper,2,9
Little Egret,2,9
Little Egret,20,9
Little Cormorant,4,9
Little Egret,2,9
Barn Swallow,1,9
Little Cormorant,1,9
Little Grebe,1,9
Little Grebe,1,9
Zebra Dove,1,9
Sunda Pied Fantail,1,10
Plain Prinia,1,10
Brown Shrike,1,10
Collared Kingfisher,2,10
Eurasian Tree Sparrow,1,10
Common Myna,1,10
Barn Swallow,1,10
Eurasian Tree Sparrow,1,10
Yellow-vented Bulbul,1,10
Edible-nest Swiftlet,2,10
Plain Prinia,1,10
Edible-nest Swiftlet,1,10
Little Cormorant,25,10
Caspian Tern,8,11
Edible-nest Swiftlet,1,11
Barn Swallow,3,11
Barn Swallow,1,11
Barn Swallow,3,11
Edible-nest Swiftlet,5,11
Brown Shrike,1,11
Little Cormorant,1,11
Grey Heron,1,11
Little Egret,1,11
Common Greenshank,18,11
Eurasian Tree Sparrow,1,11
Edible-nest Swiftlet,1,11
Edible-nest Swiftlet,2,11
Edible-nest Swiftlet,2,11
Little Egret,2,11
Edible-nest Swiftlet,2,11
Yellow-vented Bulbul,2,11
Olive-backed Sunbird,1,12
Common Kingfisher,1,12
Sunda Pied Fantail,1,12
Streak-eared Bulbul,1,12
Eurasian Tree Sparrow,3,12
Eurasian Tree Sparrow,7,12
Cattle Egret,1,12
Little Cormorant,1,12
Common Greenshank,12,12
Grey Heron,1,12
Chinese Pond-heron,1,12
Little Egret,1,13
Little Cormorant,1,13
Common Kingfisher,1,13
House Sparrow,6,13
Little Cormorant,1,13
Collared Kingfisher,1,13
Grey Heron,2,13
Little Cormorant,5,13
Little Egret,6,13
Yellow-bellied Prinia,2,13
Common Kingfisher,1,13
Little Egret,1,13
Eurasian Tree Sparrow,6,13
Common Sandpiper,1,13
Little Ringed Plover,5,13
Caspian Tern,1,14
Eurasian Tree Sparrow,1,14
Common Kingfisher,1,14
Asian Green Bee-eater,1,14
Yellow-vented Bulbul,1,14
Little Egret,1,14
Eurasian Tree Sparrow,3,14
Barn Swallow,3,14
Plain-backed Sparrow,1,14
